CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
DEMENTOR CO LIMITED,15325364,,,396A-396C HIGH STREET NORTH,,LONDON,,ENGLAND,E12 6RH,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,"47990 - Other retail sale not in stores, stalls or markets",,,,0,0,http://business.data.gov.uk/id/company/15325364,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DESIGNSBYMEHAK LTD,15325835,,,1 COPSE ROAD,,COBHAM,SURREY,UNITED KINGDOM,KT11 2TN,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,0,0,http://business.data.gov.uk/id/company/15325835,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DESIGNYBLE LTD,15325292,,,65 LEVERSON STREET,,LONDON,,ENGLAND,SW16 6DG,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,62090 - Other information technology service activities,74100 - specialised design activities,,,0,0,http://business.data.gov.uk/id/company/15325292,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DGF TRANSPORT LTD,15325379,,,156 RUSSELL DRIVE,,NOTTINGHAM,,UNITED KINGDOM,NG8 2BE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/15325379,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DGTRSS LIMITED,15325870,,,"7 COPPERFIELD ROAD, COVENTRY",,"WEST MIDLANDS, ENGLAND",,UNITED KINGDOM,CV2 4AQ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,46499 - Wholesale of household goods (other than musical instruments) n.e.c.,47190 - Other retail sale in non-specialised stores,"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",96020 - Hairdressing and other beauty treatment,0,0,http://business.data.gov.uk/id/company/15325870,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DICKINSON HOUSE RTM COMPANY LIMITED,15325733,,,"THE RTM COMPANY, FLAT 5 ELMSLIE COURT",GREENACRES,LONDON,,ENGLAND,SE9 5BB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/15325733,,,,,,,,,,,,,,,,,,,,,17/12/2024,
"DIETERLE EUROPE CHEMICAL CO., LTD.",15325333,,,CHASE BUSINESS CENTRE,39-41 CHASE SIDE,LONDON,,UNITED KINGDOM,N14 5BP,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/15325333,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DIGITAL COHESION LTD,15325850,,,"3RD FLOOR, 86-90",PAUL STREET,LONDON,ENGLAND,UNITED KINGDOM,EC2A 4NE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/15325850,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DIGITAL ENVISION LTD,15325480,,,21 ELLIS STREET,,LONDON,LONDON,UNITED KINGDOM,SW1X 9AL,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,62011 - Ready-made interactive leisure and entertainment software development,62012 - Business and domestic software development,62020 - Information technology consultancy activities,"63110 - Data processing, hosting and related activities",0,0,http://business.data.gov.uk/id/company/15325480,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DINNER PARTIES LTD,15326145,,,9 FIRCROFT CLOSE,TILEHURST,READING,,ENGLAND,RG31 6LJ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,56210 - Event catering activities,,,,0,0,http://business.data.gov.uk/id/company/15326145,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DITREX LIMITED,15325293,,,FLAT 40 ST. LAWRENCE COURT,DE BEAUVOIR ESTATE,LONDON,,ENGLAND,N1 5TP,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,81222 - Specialised cleaning services,,,,0,0,http://business.data.gov.uk/id/company/15325293,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DIVERSITAS LIMITED,15325794,,,151 CAVENDISH ROAD,,LONDON,,ENGLAND,E4 9NG,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,78109 - Other activities of employment placement agencies,,,,0,0,http://business.data.gov.uk/id/company/15325794,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DIVINE TRAVELS AND TOURS LTD,15325301,,,60 RYDAL WAY,,RUISLIP,,ENGLAND,HA4 0RU,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,79110 - Travel agency activities,79909 - Other reservation service activities n.e.c.,82200 - Activities of call centres,,0,0,http://business.data.gov.uk/id/company/15325301,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DOGSBODIES LTD,15325988,,,117 AVELING PARK ROAD,,LONDON,,ENGLAND,E17 4NS,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15325988,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DORSET CARE SERVICE LTD,15325429,,,29 CAMBRIDGE ROAD,,DORCHESTER,,ENGLAND,DT1 2LS,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,87900 - Other residential care activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15325429,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DOWN TO EARTH AUTO ELECTRICS LTD,15326115,,,UNIT 9 PARK FARM,TOPPESFIELD ROAD,BRAINTREE,,UNITED KINGDOM,CM7 4PA,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,29310 - Manufacture of electrical and electronic equipment for motor vehicles and their engines,,,,0,0,http://business.data.gov.uk/id/company/15326115,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DOWNTOWN DESIGNS LIMITED,15325732,,,MANUFACTORY HOUSE,BELL LANE,HERTFORD,HERTS,ENGLAND,SG14 1BP,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,74100 - specialised design activities,,,,0,0,http://business.data.gov.uk/id/company/15325732,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DR LIGHT LTD,NI705795,,,"UNIT 231,",100 UNIVERSITY STREET,BELFAST,,NORTHERN IRELAND,BT7 1HE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,46420 - Wholesale of clothing and footwear,46499 - Wholesale of household goods (other than musical instruments) n.e.c.,47910 - Retail sale via mail order houses or via Internet,,0,0,http://business.data.gov.uk/id/company/NI705795,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DR PRIVATE TRAVEL LTD,15325805,,,123 HESLINGTON LANE,,YORK,,UNITED KINGDOM,YO10 4HS,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id/company/15325805,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DR. CMG AESTHETICS LIMITED,NI705797,,,1 NUALAMONT DRIVE,,LONDONDERRY,,NORTHERN IRELAND,BT48 9PH,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,86220 - Specialists medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/NI705797,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DRDCONSTRUCT LTD,15325270,,,139A BEAUMONT DRIVE,NORTHFLEET,GRAVESEND,,ENGLAND,DA11 9NY,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,41201 - Construction of commercial buildings,,,,0,0,http://business.data.gov.uk/id/company/15325270,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DREAMERSCARE LIMITED,15325528,,,"FLAT 31, 1, THE SPHERE",HALLSVILLE ROAD,LONDON,,UNITED KINGDOM,E16 1BE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,33120 - Repair of machinery,,,,0,0,http://business.data.gov.uk/id/company/15325528,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DREAMING CUISINE ENTERPRISE LTD,15325909,,,2 FOUNTAIN ST,,GUISBOROUGH,,UNITED KINGDOM,TS14 6PP,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,46320 - Wholesale of meat and meat products,46360 - Wholesale of sugar and chocolate and sugar confectionery,47910 - Retail sale via mail order houses or via Internet,56290 - Other food services,0,0,http://business.data.gov.uk/id/company/15325909,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DRIVEWRIGHT LTD,15325842,,,211 ST. MARGARETS ROAD,,LOWESTOFT,,ENGLAND,NR32 4HN,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,85530 - Driving school activities,,,,0,0,http://business.data.gov.uk/id/company/15325842,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DROP-IN LONDON LIMITED,15325849,,,91 RENDLESHAM ROAD,HACKNEY,LONDON,,ENGLAND,E5 8PJ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,94990 - Activities of other membership organizations n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15325849,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DRUFLE LIMITED,SC791269,,,87 MOREDUN DYKES ROAD,,EDINBURGH,,SCOTLAND,EH17 8PZ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/SC791269,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DSP CONSTRUCTION SERVICES LTD,15326057,,,100 PERSHORE ROAD,,BASINGSTOKE,,ENGLAND,RG24 9BH,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,16230 - Manufacture of other builders' carpentry and joinery,41201 - Construction of commercial buildings,41202 - Construction of domestic buildings,43290 - Other construction installation,0,0,http://business.data.gov.uk/id/company/15326057,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DTD CONSULT LTD,15325445,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,70229 - Management consultancy activities other than financial management,71122 - Engineering related scientific and technical consulting activities,,,0,0,http://business.data.gov.uk/id/company/15325445,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DUDADUU LTD,15325865,,,15 WOODSIDE AVENUE,,CORBRIDGE,,UNITED KINGDOM,NE45 5EL,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,01420 - Raising of other cattle and buffaloes,,,,0,0,http://business.data.gov.uk/id/company/15325865,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DUMMY LTD,15325527,,,13 CAMBRIDGE TERRACE,,BARNARD CASTLE,,ENGLAND,DL12 8DA,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,58190 - Other publishing activities,,,,0,0,http://business.data.gov.uk/id/company/15325527,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DYF LTD,15326028,,,NUTTABURY COTTAGE BARNES GREEN,BRINKWORTH,CHIPPENHAM,,ENGLAND,SN15 5AH,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/15326028,,,,,,,,,,,,,,,,,,,,,17/12/2024,
DYNAMIC ADVISORS LTD,15325612,,,DYNAMIC ADVISORS LTD,82 JAMES CARTER ROAD,MILDENHALL SUFFOLK,UNITED KINGDOM,UNITED KINGDOM,IP28 7DE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,74901 - Environmental consulting activities,,,,0,0,http://business.data.gov.uk/id/company/15325612,,,,,,,,,,,,,,,,,,,,,17/12/2024,
E.G EXETER LTD,15325761,,,THE BARBICAN CENTRE LUSTLEIGH CLOSE,MARSH BARTON TRADING ESTATE,EXETER,,ENGLAND,EX2 8PW,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,56103 - Take-away food shops and mobile food stands,,,,0,0,http://business.data.gov.uk/id/company/15325761,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EAST END PCO LICENCE LTD,15325511,,,UNIT F36B EXPRESSWAY STUDIOS,1 DOCK ROAD,LONDON,,ENGLAND,E16 1AH,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15325511,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EAST SUSSEX ENERGY LTD,15325735,,,FAIRFIELD BEXHILL RD,NINFIELD,BATTLE,EAST SUSSEX,ENGLAND,TN33 9EE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,74901 - Environmental consulting activities,,,,0,0,http://business.data.gov.uk/id/company/15325735,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EASTPORT ENERGY LTD,15325535,,,91-99 FIELDGATE STREET,FEATHER MEWS,LONDON,,ENGLAND,E1 1JU,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,46711 - Wholesale of petroleum and petroleum products,,,,0,0,http://business.data.gov.uk/id/company/15325535,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EAZY BUSINESS FINANCE LTD,15325278,,,130A NEWPORT ROAD,NEW BRADWELL,MILTON KEYNES,,ENGLAND,MK13 0AA,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,64921 - Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,64922 - Activities of mortgage finance companies,,,0,0,http://business.data.gov.uk/id/company/15325278,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ECI 12 D LP,LP023460,,,80 THE STRAND,,LONDON,,,WC2R 0DT,Limited Partnership,Active,United Kingdom,,2023-12-04,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,1,1,http://business.data.gov.uk/id/company/LP023460,,,,,,,,,,,,,,,,,,,,,,
ECOMMERZUK LTD,15325634,,,34 OVERBROOK WALK,,EDGWARE,,ENGLAND,HA8 6JW,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/15325634,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EDUMAHOME LTD,15326124,,,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,85520 - Cultural education,85590 - Other education n.e.c.,,,0,0,http://business.data.gov.uk/id/company/15326124,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EDZ MODELS LTD,SC791270,,,71 BALCASTLE CRESCENT,,CARLUKE,,SCOTLAND,ML8 4LG,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/SC791270,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EFFECTIVE RADON SOLUTIONS LTD,15325609,,,SUITE 18 EQUITY CHAMBERS,249 HIGH STREET NORTH,POOLE,,UNITED KINGDOM,BH15 1DX,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,71122 - Engineering related scientific and technical consulting activities,74901 - Environmental consulting activities,"74909 - Other professional, scientific and technical activities n.e.c.",,0,0,http://business.data.gov.uk/id/company/15325609,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EG STAYS LTD,15325881,,,7 BELL YARD,,LONDON,,UNITED KINGDOM,WC2A 2JR,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/15325881,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EIGHT FIVE TWO ACCOUNTING LIMITED,15325961,,,87 SALTHILL ROAD,,CHICHESTER,,ENGLAND,PO19 3QD,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,69201 - Accounting and auditing activities,,,,0,0,http://business.data.gov.uk/id/company/15325961,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EJCON LTD,15325680,,,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,59111 - Motion picture production activities,62012 - Business and domestic software development,62020 - Information technology consultancy activities,63120 - Web portals,0,0,http://business.data.gov.uk/id/company/15325680,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EJK AESTHETICS & BEAUTY LTD,15325475,,,28 MALVERN ROAD,,SCUNTHORPE,,ENGLAND,DN17 1EN,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,96020 - Hairdressing and other beauty treatment,,,,0,0,http://business.data.gov.uk/id/company/15325475,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EKO ENERGY SOLUTIONS LTD,15325313,,,242 THE MANOR,GREAT BILLING,NORTHAMPTON,NORTHAMPTONSHIRE,UNITED KINGDOM,NN3 9EX,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,74901 - Environmental consulting activities,,,,0,0,http://business.data.gov.uk/id/company/15325313,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EL-KSAKES LIMITED,15325581,,,287 GRAFTON STREET,,LIVERPOOL,,ENGLAND,L8 6RG,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,74202 - Other specialist photography,,,,0,0,http://business.data.gov.uk/id/company/15325581,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ELECTRAZE LTD,15325899,,,9 CYNTWELL AVENUE,GLAMORGAN,CARDIFF,,UNITED KINGDOM,CF5 5QN,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15325899,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ELEVATED EXPERIENCES LIMITED,15325311,,,20 GRANGE ROAD,,LONDON,,ENGLAND,SW13 9RE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/15325311,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ELEVATEMARKET LTD,15325726,,,"7 CORONATION ROAD, DEPHNA HOUSE, LAUNCHESE #105",,LONDON,,UNITED KINGDOM,NW10 7PQ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,46450 - Wholesale of perfume and cosmetics,,,,0,0,http://business.data.gov.uk/id/company/15325726,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ELITE AUTOS BRISTOL LTD,15325666,,,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,45112 - Sale of used cars and light motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/15325666,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ELMONDO LIMITED,15325562,,,27 GRANGE ROAD,ASTON,BIRMINGHAM,,ENGLAND,B6 6LA,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/15325562,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ELOI TRADE LTD,15325642,,,143 DAVENTRY RD,,COVENTRY,,UNITED KINGDOM,CV3 5HD,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/15325642,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EMA & ZHIVKO LTD,15325577,,,19 RANELAGH ROAD,,LONDON,,ENGLAND,N22 7TJ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,81210 - General cleaning of buildings,81299 - Other cleaning services,,,0,0,http://business.data.gov.uk/id/company/15325577,,,,,,,,,,,,,,,,,,,,,17/12/2024,
EMATH CAFE LTD,15326063,,,13 MEADWAY,NEW BARNET,BARNET,,ENGLAND,EN5 5LG,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,56102 - Unlicensed restaurants and cafes,,,,0,0,http://business.data.gov.uk/id/company/15326063,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ENABLE JUSTICE LTD,15326135,,,20 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,94990 - Activities of other membership organizations n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15326135,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ENGINEIUS LTD,15326105,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,70229 - Management consultancy activities other than financial management,86900 - Other human health activities,,0,0,http://business.data.gov.uk/id/company/15326105,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ENHOREA LIMITED,15326012,,,34 HIGH STREET,,ST. NEOTS,,ENGLAND,PE19 1JA,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,"46150 - Agents involved in the sale of furniture, household goods, hardware and ironmongery","46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods","46170 - Agents involved in the sale of food, beverages and tobacco",,0,0,http://business.data.gov.uk/id/company/15326012,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ENIGMAFORGE TECH LTD.,15325817,,,128 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,58290 - Other software publishing,,,,0,0,http://business.data.gov.uk/id/company/15325817,,,,,,,,,,,,,,,,,,,,,17/12/2024,
